"Allied_Nations","Diplomatic_Meetings_Set","Percent_Of_Forces_Mobilized","Hostile_Nations","Active_Threats","Inactive_Threats","Citizen_Fear_Index","Closest_Threat_Distance(km)","Aircraft_Carriers_Responding","Troops_Mobilized(thousands)","DEFCON_Level","ID"
7,0,0.31,9,37.5,160,0.226872246696032,330.72,1,1020800,3,5585
8,0,0.26,2,9,44,0.530837004405281,347.68,1,827200,3,4214
9,1,0.22,2,8,30,0.599853157121879,345.56,1,888800,3,7247
7,1,0.12,2,32,47,0.398678414096916,352.98,1,809600,2,8414
5,1,0.19,2,15,24,0.284875183553592,371,1,959200,2,9880
7,1,0.19,8,6,31,0.633627019089575,348.74,0,844800,2,6279
8,1,0.56,2,15,47,0.604258443465487,363.58,1,809600,3,9536
8,1,0.31,2,15,81,0.527165932452271,342.38,1,853600,2,6436
7,1,0.32,6,19,110,0.666666666666664,360.4,1,827200,2,5368
9,1,0.04,2,5,14,0.662995594713654,354.04,1,871200,3,10559
5,1,0.08,2,19,44,0.128487518355355,392.2,1,1232000,4,2333
6,1,0,2,7,12,0.306901615271652,394.32,1,1003200,4,5408
7,1,0.04,2,5,13,0.435389133627015,361.46,1,880000,2,8672
8,0,0.28,4,28,104,0.571953010279005,341.32,1,853600,2,7133
8,0,0.28,2,27,58,0.516152716593241,347.68,1,809600,2,4933
11,0,0.41,2,19,41,0.395007342143898,345.56,1,1020800,4,8027
8,1,0.35,5,31,131,0.472099853157122,345.56,1,985600,3,10187
7,0,0.1,3,14,30,0.497797356828192,360.4,1,880000,2,964
8,1,0.03,2,25,99,0.361967694566808,351.92,1,844800,3,2144
8,1,0,2,18,32,0.490455212922172,345.56,1,818400,1,11676
7,0,0.44,2,17,43,0.552863436123348,376.3,1,994400,4,2232
7,1,0,1,9,15,0.374449339207052,362.52,1,950400,4,8899
8,1,0.21,2,5,21,0.457415565345074,339.2,0,818400,2,9573
6,1,0.31,2,15,100,0.256975036710718,344.5,0,1029600,3,6509
7,1,0,1,4,11,0.334067547723935,351.92,1,959200,1,6728
8,0,0.29,2,13,32,0.441997063142428,334.96,1,853600,3,6617
7,1,0,2,18,32,0.479441997063142,365.7,1,959200,3,12426
7,0,0.15,2,8,25,0.316446402349476,355.1,1,985600,2,5146
8,1,0.13,2,38,35,0.267254038179141,341.32,1,1082400,3,2833
11,0,0.48,2,5,21,0.626284875183555,324.36,1,809600,3,9494
7,1,0,3,7,14,0.479441997063142,358.28,1,880000,2,3722
8,1,0.22,2,9,29,0.558737151248155,374.18,1,924000,3,7305
8,1,0.52,2,3,8,0.392804698972102,358.28,1,818400,2,2109
5,0,0.25,2,23,74,0.383994126284868,378.42,1,941600,3,3851
7,1,0.08,2,10,16,0.442731277533035,349.8,1,871200,3,2731
7,0,0.07,2,18,38,0.432452276064612,381.6,1,950400,4,8612
6,0,0.09,2,17,49,0.290014684287816,379.48,1,1012000,3,3164
6,1,0.06,2,19,40,0.353157121879575,381.6,1,932800,3,6760
10,0,0.2,3,24,46,0.596916299559467,327.54,2,915200,3,6059
12,0,0.56,2,15,37,0.589574155653448,321.18,1,862400,3,10682
8,1,0.02,2,17,26,0.369309838472828,354.04,1,915200,4,9191
8,0,0.37,3,24,50,0.552863436123348,374.18,1,818400,3,7256
7,1,0.33,2,35,60,0.458883994126288,348.74,1,871200,2,3198
9,1,0.3,3,17,56,0.579295154185025,340.26,1,880000,3,6655
8,0,0.42,2,9,26,0.450073421439055,346.62,1,968000,2,1466
8,0,0.41,2,8,19,0.313509544787073,347.68,1,1064800,4,9661
8,0,0.5,3,5,19,0.538179148311301,327.54,1,968000,2,652
8,0,0.25,3,35,98,0.538179148311301,332.84,1,800800,2,8135
7,1,0,2,3,13,0.461820851688691,355.1,1,809600,2,6142
7,1,0.21,4,31,141,0.404552129221722,351.92,1,1012000,3,7275
8,0,0.42,2,9,20,0.379588839941259,336.02,1,1038400,3,11457
8,1,0.01,2,17,32,0.523494860499261,350.86,1,818400,3,2523
6,0,0.16,2,12,25,0.260646108663728,387.96,1,1082400,2,9124
8,1,0.18,2,24,130,0.479441997063142,346.62,1,827200,2,6071
9,1,0.19,4,30,131,0.582232011747428,342.38,0,836000,2,10230
7,0,0.32,2,15,143,0.501468428781202,323.3,1,809600,2,995
7,0,0.33,2,14,29,0.256240822320112,354.04,1,1126400,3,716
7,0,0.15,2,17,26,0.279735682819369,360.4,1,1029600,3,243
8,1,0.31,2,11,29,0.501468428781202,361.46,1,827200,2,7278
7,1,0.06,6,15,27,0.240088105726866,355.1,1,1003200,2,9790
9,0,0.29,3,18,58,0.569016152716594,349.8,1,915200,4,5269
9,0,0.49,2,47,88,0.545521292217329,358.28,1,941600,2,2388
7,1,0.13,2,15,20,0.316446402349476,358.28,1,985600,3,5039
8,1,0.26,2,23,120,0.435389133627015,342.38,1,888800,3,10631
8,0,0.29,2,18,36,0.494126284875182,360.4,1,888800,3,5255
8,0,0.39,3,6,17,0.538179148311301,350.86,1,844800,3,3562
7,1,0.01,2,11,34,0.361967694566808,360.4,1,862400,2,4305
11,1,0.43,2,21,84,0.546989720998534,331.78,1,827200,3,11240
7,1,0.03,6,23,45,0.572687224669604,365.7,1,897600,2,7101
8,1,0.1,3,9,22,0.464757709251094,343.44,1,827200,3,4366
10,1,0.42,2,5,25,0.714390602055801,339.2,1,739200,3,1645
7,1,0,2,9,15,0.22834067547723,359.34,0,1108800,4,2157
7,0,0.07,2,18,27,0.450073421439055,375.24,1,871200,2,7403
10,0,0.4,1,14,61,0.596916299559467,321.18,0,792000,2,6622
12,0,0.51,4,19,47,0.589574155653448,320.12,1,888800,2,7340
11,0,0.43,2,14,21,0.73641703377386,306.34,1,844800,3,3574
7,1,0,1,32,54,0.406020558002936,374.18,1,1003200,3,10929
7,1,0.16,2,11,38,0.446402349486045,360.4,1,888800,2,3466
12,0,0.47,3,28,49,0.7511013215859,338.14,1,880000,1,8806
12,0,0.49,3,10,23,0.77312775330396,334.96,1,906400,3,8023
7,1,0.19,8,66,83,0.572687224669604,366.76,1,976800,2,3092
10,0,0.64,4,6,16,0.552863436123348,323.3,1,1064800,4,7151
16,0,0.49,4,10,17,0.831864904552135,315.88,1,950400,3,5789
8,1,0.22,2,25,113,0.450073421439055,333.9,1,871200,2,7901
8,0,0.31,2,13,46,0.530837004405281,351.92,1,844800,3,9623
8,1,0.13,3,20,84,0.611600587371507,350.86,1,853600,3,5884
7,1,0.02,2,37,63,0.357562408223192,373.12,1,871200,2,11608
8,1,0.26,2,13,105,0.444199706314248,339.2,0,836000,2,5590
8,1,0.06,2,5,9,0.344346549192366,375.24,1,862400,2,5180
8,1,0.03,2,25,92,0.540381791483105,332.84,1,809600,2,5281
8,1,0.21,2,4,11,0.494126284875182,357.22,1,941600,2,564
10,0,0.34,2,17,38,0.428046989720995,324.36,1,959200,3,8387
9,0,0.42,2,12,19,0.400146842878121,360.4,1,1038400,2,5314
8,0,0.11,1,6,12,0.435389133627015,347.68,1,897600,3,10709
7,1,0.35,2,16,65,0.457415565345074,351.92,1,818400,2,6921
12,0,0.57,2,6,20,0.575624082232015,324.36,1,871200,2,11791
7,1,0.06,2,5,10,0.464757709251094,373.12,0,897600,3,2699
9,0,0.47,2,9,22,0.450073421439055,340.26,1,1047200,3,2493
7,1,0,2,7,17,0.374449339207052,362.52,1,959200,1,9240
8,1,0.28,2,11,86,0.442731277533035,338.14,1,836000,2,12320
8,1,0,2,6,12,0.367841409691623,375.24,1,994400,1,5323
6,1,0.08,2,24,31,0.257709251101309,369.94,1,1082400,2,11070
7,1,0.02,2,6,23,0.442731277533035,355.1,1,906400,3,10937
7,1,0,2,21,38,0.523494860499261,354.04,0,844800,1,2188
8,1,0.16,2,12,41,0.494126284875182,348.74,1,836000,2,7576
7,0,0.36,2,21,42,0.437591776798819,354.04,1,818400,2,7076
7,1,0,2,10,20,0.479441997063142,368.88,1,924000,3,31
8,1,0.22,2,9,29,0.508810572687221,347.68,1,827200,3,4903
7,1,0.05,2,12,54,0.479441997063142,355.1,1,818400,1,5742
8,1,0.22,3,10,78,0.552863436123348,348.74,1,924000,2,5719
7,0,0.3,2,6,12,0.254772393538906,360.4,1,1012000,4,2963
8,1,0.26,2,31,119,0.409691629955946,342.38,0,871200,2,257
10,0,0.5,2,20,116,0.444933920704839,359.34,1,1020800,4,4754
7,1,0.08,2,42,47,0.419236417033762,330.72,1,871200,2,8952
9,0,0.35,2,11,47,0.571953010279005,351.92,1,924000,4,8736
12,0,0.52,2,15,54,0.729074889867841,328.6,0,809600,2,7317
8,1,0.12,5,13,53,0.552863436123348,360.4,0,836000,2,11389
7,1,0,2,13,40,0.491189427312779,354.04,1,827200,3,5247
7,1,0.09,4,14,18,0.418502202643171,349.8,1,950400,4,9491
8,0,0.17,2,3,7,0.301762114537436,328.6,1,818400,2,1693
10,1,0.27,2,26,52,0.569016152716594,345.56,1,880000,3,2770
7,1,0,2,22,31,0.472099853157122,364.64,1,968000,3,6526
5,1,0.18,2,7,22,0.244493392070475,389.02,1,1029600,3,2957
7,1,0.02,2,15,39,0.395007342143898,359.34,1,976800,3,8139
10,0,0.58,4,6,17,0.508810572687221,322.24,1,1038400,3,10150
7,1,0.18,2,13,35,0.385462555066082,361.46,1,985600,2,5294
8,1,0.13,2,17,63,0.464757709251094,350.86,1,862400,2,1060
5,1,0.08,1,24,45,0.350220264317172,425.06,1,897600,3,7778
9,0,0.42,2,11,27,0.479441997063142,354.04,1,888800,2,3047
7,0,0.3,2,31,52,0.430983847283398,354.04,0,818400,2,9907
8,1,0,3,25,61,0.552863436123348,350.86,1,800800,2,2430
9,0,0.64,2,24,65,0.604258443465487,375.24,1,800800,2,7439
11,1,0.34,2,15,23,0.517621145374455,332.84,1,897600,2,7846
10,1,0.27,2,22,52,0.569016152716594,329.66,1,880000,3,7150
5,1,0,2,14,30,0.413362701908955,408.1,1,959200,3,2921
8,1,0.22,2,33,141,0.464757709251094,340.26,0,871200,2,1328
8,1,0.24,2,8,31,0.450073421439055,347.68,1,959200,1,7866
6,0,0.08,2,19,25,0.382525697503662,369.94,0,915200,2,8710
9,1,0.33,3,24,120,0.582232011747428,346.62,1,827200,2,10955
7,1,0.02,2,37,92,0.420704845814975,351.92,1,827200,2,7414
10,0,0.46,2,10,34,0.571953010279005,330.72,1,924000,2,4158
8,0,0.49,6,32,278,0.226872246696032,344.5,1,1020800,3,11341
6,1,0,2,7,14,0.113803230543315,383.72,1,1135200,2,3258
10,0,0.44,2,21,46,0.640969162995595,349.8,1,809600,3,3781
7,1,0.12,2,25,56,0.433920704845809,361.46,1,888800,3,8048
8,1,0.31,2,31,96,0.382525697503662,346.62,0,985600,2,6511
10,1,0.66,2,6,24,0.685022026431714,330.72,1,818400,1,3393
12,0,0.65,2,6,21,0.75844346549192,331.78,1,739200,3,12195
7,1,0.32,2,34,89,0.406020558002936,344.5,1,862400,3,4806
7,1,0.01,2,27,85,0.450073421439055,354.04,1,941600,2,1386
7,0,0.36,2,12,74,0.521292217327465,344.5,1,836000,3,3935
5,1,0.19,8,30,134,0.193098384728336,392.2,1,1100000,3,5417
7,1,0.12,2,4,25,0.395741556534505,342.38,0,818400,3,8817
9,0,0.43,2,31,45,0.358296622613799,346.62,1,1091200,4,1822
9,0,0.4,2,25,52,0.611600587371507,356.16,1,844800,2,1174
8,1,0.25,3,14,115,0.683553597650508,357.22,1,827200,2,2883
7,1,0,2,9,23,0.604258443465487,390.08,1,924000,3,9688
10,0,0.31,2,15,23,0.435389133627015,332.84,1,888800,3,2432
7,0,0.31,2,21,53,0.450073421439055,360.4,1,836000,2,567
7,1,0.3,2,23,87,0.508810572687221,352.98,1,836000,2,5777
6,0,0.25,2,33,84,0.256975036710718,359.34,1,968000,3,4834
5,1,0.09,2,7,28,0.244493392070475,393.26,1,1051600,3,2191
7,1,0.05,2,24,44,0.380323054331858,358.28,1,888800,3,7865
7,1,0.1,2,18,49,0.456681350954476,348.74,1,880000,3,6022
12,0,0.58,3,7,16,0.670337738619674,315.88,1,950400,3,12482
14,0,0.49,4,7,16,0.861233480176214,312.7,1,976800,2,3751
9,1,0.24,3,9,38,0.71145374449339,351.92,1,809600,3,10292
7,1,0,3,7,18,0.508810572687221,359.34,1,871200,2,9288
9,0,0.35,2,23,57,0.502936857562407,345.56,1,985600,3,7946
12,0,0.63,2,7,18,0.674008810572684,340.26,1,915200,3,9954
6,1,0.03,2,21,90,0.317914831130681,390.08,1,871200,2,10446
12,0,0.52,2,6,21,0.511747430249624,316.94,1,871200,2,8740
10,0,0.35,2,15,19,0.428046989720995,338.14,1,827200,2,8615
13,0,0.54,3,17,43,0.75844346549192,340.26,1,897600,3,2581
7,0,0,2,27,61,0.417767988252572,355.1,1,1003200,3,11704
6,1,0,2,6,13,0.303230543318642,383.72,1,1012000,4,12307
8,0,0.6,3,3,10,0.204845814977973,356.16,1,1144000,4,5068
6,1,0.05,1,41,85,0.266519823788543,362.52,0,1020800,2,362
8,1,0.1,3,18,40,0.552863436123348,364.64,1,880000,3,5520
8,1,0.1,3,9,26,0.403817914831131,356.16,1,924000,3,776
6,0,0.24,2,27,48,0.337738619676945,378.42,1,994400,3,1803
7,0,0.42,2,21,48,0.582232011747428,368.88,1,809600,2,3649
7,0,0.29,2,20,49,0.485315712187948,366.76,0,836000,2,171
8,0,0.4,5,7,17,0.344346549192366,345.56,1,994400,4,1917
11,0,0.56,3,16,41,0.508810572687221,330.72,1,1100000,4,1538
8,1,0.21,2,14,35,0.508810572687221,356.16,1,836000,3,5343
7,1,0,2,4,11,0.285609397944199,358.28,1,915200,1,8355
8,1,0.34,2,24,122,0.475770925110132,340.26,1,818400,2,6960
12,0,0.69,3,10,25,0.685022026431714,328.6,1,950400,4,11644
11,0,0.48,2,6,14,0.626284875183555,322.24,1,844800,2,6195
10,0,0.37,2,14,19,0.435389133627015,305.28,1,1126400,5,12424
8,0,0.59,2,9,26,0.494126284875182,356.16,1,924000,3,4711
10,0,0.37,3,14,27,0.77312775330396,337.08,1,836000,3,8339
9,1,0.1,3,6,24,0.552863436123348,333.9,1,880000,3,11077
8,1,0.21,2,32,131,0.406020558002936,340.26,1,836000,2,10706
8,1,0.05,2,10,35,0.420704845814975,354.04,1,924000,3,8435
8,1,0.31,2,11,41,0.541850220264311,350.86,1,818400,2,4988
7,0,0.08,2,9,28,0.494126284875182,365.7,1,800800,2,12052
10,0,0.55,2,42,80,0.548458149779732,358.28,1,844800,3,7535
8,1,0.27,2,17,108,0.508810572687221,345.56,0,844800,2,7693
9,0,0.37,2,43,80,0.592511013215851,364.64,1,836000,2,3563
7,0,0.2,2,8,17,0.254772393538906,357.22,0,1100000,3,6079
7,0,0.12,2,16,61,0.413362701908955,330.72,0,809600,3,11249
10,0,0.41,3,6,35,0.535242290748898,337.08,1,1038400,3,7385
10,0,0.46,2,5,17,0.471365638766515,328.6,1,985600,4,7361
9,0,0.43,2,12,27,0.373715124816445,351.92,1,1091200,4,5054
8,1,0.23,2,17,108,0.450073421439055,349.8,1,862400,2,4876
9,1,0.68,2,30,134,0.545521292217329,337.08,1,818400,2,12178
8,1,0.16,2,11,65,0.494126284875182,356.16,1,827200,2,6794
9,1,0.09,2,8,28,0.457415565345074,330.72,0,853600,2,7500
8,0,0.49,2,47,135,0.574889867841408,336.02,1,836000,2,10043
7,0,0,1,21,58,0.395007342143898,360.4,0,976800,3,6573
7,0,0.11,2,12,30,0.444933920704839,349.8,1,862400,3,9543
9,1,0,3,11,14,0.646842878120401,359.34,1,871200,3,6331
12,0,0.52,2,15,47,0.729074889867841,329.66,0,836000,2,11593
8,1,0,2,13,24,0.406020558002936,368.88,1,1012000,4,6668
10,1,0.39,3,29,53,0.73641703377386,357.22,1,1012000,4,11649
9,0,0.23,3,13,28,0.464757709251094,338.14,1,836000,3,1953
9,0,0.39,2,12,25,0.479441997063142,364.64,1,888800,2,10623
6,0,0.14,2,7,34,0.113803230543315,373.12,1,1193866.66666667,2,632
8,1,0.29,2,23,81,0.508810572687221,333.9,1,836000,2,9237
11,0,0.5,2,6,24,0.626284875183555,336.02,1,836000,2,1800
7,1,0.26,3,31,96,0.472099853157122,344.5,1,897600,2,5932
13,0,0.52,3,17,47,0.684287812041115,315.88,1,932800,2,1508
6,0,0.15,2,10,23,0.398678414096916,372.06,1,836000,2,11798
6,1,0.06,2,19,30,0.354625550660789,375.24,1,1003200,1,8348
9,0,0.3,3,10,31,0.464757709251094,336.02,1,1038400,3,3979
7,1,0.02,2,6,13,0.425844346549191,359.34,0,862400,2,4927
6,1,0.66,2,30,134,0.0829662261380224,344.5,0,1232000,4,743
7,1,0.03,2,21,99,0.450073421439055,364.64,1,897600,2,9857
10,0,0.53,2,3,8,0.339941262848749,341.32,1,1029600,3,9756
13,0,0.74,3,23,101,0.802496328928039,334.96,1,880000,3,5971
8,0,0.36,2,21,60,0.596916299559467,350.86,1,853600,3,1314
7,0,0.14,2,13,37,0.435389133627015,359.34,0,888800,3,3771
11,0,0.39,2,3,13,0.508810572687221,332.84,0,924000,5,9096
8,0,0.2,3,8,35,0.685022026431714,381.6,1,897600,4,7697
8,0,0.42,2,23,73,0.538179148311301,361.46,1,827200,2,5659
10,1,0.24,2,13,21,0.457415565345074,336.02,0,871200,2,7811
6,1,0.1,2,13,80,0.245227606461082,384.78,1,1082400,3,3033
7,0,0.27,2,21,53,0.589574155653448,368.88,1,836000,3,7046
7,0,0.07,2,19,40,0.432452276064612,381.6,1,976800,2,3852
10,0,0.64,4,6,20,0.508810572687221,334.96,1,994400,4,3153
6,1,0,2,3,14,0.272393538913349,358.28,0,968000,3,5966
7,1,0.06,3,8,28,0.453010279001466,366.76,1,941600,2,3859
10,0,0.31,2,5,16,0.409691629955946,338.14,1,985600,3,7590
10,0,0.49,3,4,12,0.582232011747428,337.08,1,1073600,3,284
6,1,0.1,2,13,26,0.260646108663728,378.42,1,1003200,2,4079
7,1,0.09,2,4,13,0.285609397944199,352.98,0,994400,2,7516
7,0,0.28,2,19,37,0.376651982378848,357.22,1,994400,3,12064
11,0,0.43,3,7,20,0.729074889867841,329.66,1,880000,3,2003
7,1,0.08,4,6,33,0.407488986784141,349.8,1,950400,2,2575
11,0,0.45,3,34,119,0.596916299559467,342.38,1,959200,2,7471
7,1,0.05,2,12,88,0.450073421439055,380.54,1,968000,1,6207
11,0,0.57,2,6,18,0.626284875183555,336.02,1,739200,2,10275
8,1,0.13,2,7,29,0.464757709251094,343.44,1,836000,2,9686
10,0,0.63,4,7,38,0.457415565345074,322.24,1,1064800,4,10974
8,1,0.26,2,42,98,0.357562408223192,349.8,1,1020800,3,3196
8,0,0.42,2,18,30,0.376651982378848,357.22,1,888800,3,10317
8,1,0.21,2,21,84,0.571218795888398,338.14,1,800800,2,5602
7,0,0.26,2,3,15,0.435389133627015,352.98,1,818400,3,10580
8,0,0.3,2,2,11,0.358296622613799,351.92,1,1029600,4,8918
8,1,0.05,2,8,25,0.485315712187948,351.92,1,862400,2,9464
8,0,0.37,2,36,67,0.435389133627015,359.34,1,827200,3,5198
9,1,0.23,3,28,65,0.685022026431714,334.96,1,844800,1,7342
9,0,0.51,2,45,102,0.567547723935388,367.82,1,950400,2,9043
7,1,0.01,2,8,15,0.22834067547723,351.92,1,1064800,4,5412
12,0,0.58,3,19,64,0.699706314243761,337.08,1,1012000,4,11049
9,1,0.17,2,3,12,0.560205580029368,339.2,1,853600,2,8351
8,0,0.42,2,12,19,0.437591776798819,346.62,1,1003200,2,5053
8,1,0.21,2,4,16,0.534508076358291,357.22,1,950400,2,10216
8,0,0.27,2,18,38,0.400881057268712,334.96,1,880000,4,7834
9,1,0.18,4,11,104,0.685022026431714,337.08,1,809600,2,9144
7,0,0.29,2,26,51,0.450073421439055,363.58,1,932800,3,2352
7,1,0.26,7,23,143,0.589574155653448,366.76,1,827200,2,1259
8,0,0.4,6,10,21,0.508810572687221,355.1,1,1126400,3,3621
9,0,0.47,2,6,13,0.347283406754769,333.9,1,1003200,4,502
8,0,0.3,2,8,35,0.435389133627015,348.74,1,853600,2,10045
7,1,0.1,1,13,38,0.456681350954476,354.04,1,818400,2,10318
9,0,0.34,2,5,10,0.484581497797358,350.86,1,906400,3,994
7,1,0.14,2,9,29,0.444199706314248,374.18,1,968000,1,10688
8,1,0,2,6,13,0.430249632892799,374.18,1,1126400,1,6568
6,1,0.01,4,21,44,0.353157121879575,380.54,1,1012000,3,8393
10,0,0.49,3,11,51,0.580763582966222,328.6,1,888800,3,5103
12,0,0.66,3,10,23,0.640969162995595,322.24,1,1003200,3,11714
10,0,0.5,4,9,28,0.541850220264311,337.08,1,1056000,3,11989
10,1,0.19,3,37,73,0.629955947136565,361.46,1,827200,3,5558
9,0,0.32,3,4,12,0.418502202643171,344.5,1,1038400,4,5627
9,0,0.35,2,3,14,0.417767988252572,349.8,1,968000,4,1960
9,0,0.46,9,3,8,0.831864904552135,368.88,1,959200,3,9000
8,1,0.05,2,10,35,0.508810572687221,354.04,1,862400,3,4188
8,1,0.01,3,11,20,0.464757709251094,358.28,1,924000,4,11443
10,1,0.23,3,33,152,0.582232011747428,344.5,1,1038400,3,12401
10,1,0.25,2,5,35,0.424375917767985,332.84,1,915200,3,7719
5,1,0.18,2,13,32,0.188693098384719,375.24,1,1135200,4,966
10,1,0.24,2,35,155,0.567547723935388,332.84,1,818400,2,11018
8,0,0.33,2,16,144,0.494126284875182,344.5,1,818400,2,5348
9,0,0.34,2,12,23,0.399412628487515,346.62,1,1056000,4,3117
8,1,0.23,2,13,63,0.499999999999988,350.86,1,827200,2,3130
8,1,0.12,2,24,89,0.472099853157122,346.62,1,871200,2,12429
8,1,0.19,2,36,44,0.267254038179141,328.6,0,1082400,3,984
7,1,0.2,8,30,121,0.522026431718055,354.04,0,836000,2,4696
12,0,0.49,3,19,53,0.73641703377386,344.5,1,959200,4,3993
9,1,0.24,3,29,139,0.596916299559467,343.44,1,836000,2,10348
8,0,0.36,2,5,16,0.381057268722465,346.62,1,1038400,4,1550
9,1,0.33,2,4,10,0.484581497797358,350.86,1,941600,2,9267
8,0,0.31,2,32,75,0.420704845814975,355.1,1,862400,2,11588
7,1,0.07,2,17,24,0.316446402349476,330.72,0,862400,2,6513
8,0,0.53,2,18,60,0.552863436123348,359.34,1,809600,3,6802
8,1,0,2,6,12,0.430249632892799,356.16,1,897600,3,2489
9,1,0.1,2,9,48,0.599853157121879,375.24,1,818400,3,7993
8,0,0.3,2,8,17,0.428046989720995,334.96,1,827200,2,10484
9,1,0,2,19,39,0.552863436123348,352.98,1,818400,3,3699
8,0,0.26,2,9,28,0.553597650513947,350.86,1,809600,2,6831
12,0,0.49,4,54,54,0.75844346549192,358.28,1,959200,4,7724
9,0,0.49,2,26,85,0.567547723935388,342.38,1,800800,2,3367
8,0,0.49,3,11,30,0.545521292217329,354.04,1,1100000,4,5581
8,1,0.22,3,14,38,0.494126284875182,354.04,1,880000,3,2603
8,0,0.4,2,6,17,0.295888399412622,352.98,1,1038400,4,9549
9,1,0.14,2,10,54,0.479441997063142,328.6,1,853600,2,9298
9,0,0.31,3,21,111,0.671806167400888,350.86,1,827200,2,8605
8,0,0.21,2,26,102,0.472099853157122,343.44,1,836000,2,11664
10,0,0.46,3,7,21,0.626284875183555,332.84,1,924000,3,4137
7,0,0.33,2,18,47,0.485315712187948,368.88,1,897600,3,6034
13,0,0.72,3,17,43,0.684287812041115,318,1,950400,2,7457
10,0,0.36,2,31,51,0.491189427312779,334.96,1,906400,3,614
9,1,0.26,2,23,147,0.599118942731272,354.04,1,827200,2,7904
7,1,0.03,2,27,43,0.378120411160062,354.04,1,959200,3,10438
13,0,0.62,3,13,32,0.626284875183555,340.26,1,950400,4,2604
7,1,0.03,6,32,134,0.589574155653448,348.74,1,827200,2,11551
9,0,0.46,5,15,47,0.626284875183555,337.08,0,836000,2,1790
6,1,0.02,2,18,52,0.382525697503662,369.94,0,906400,2,242
10,1,0.42,3,5,19,0.571953010279005,341.32,1,1073600,3,1262
7,1,0.02,2,8,46,0.417767988252572,363.58,0,924000,2,10715
7,1,0.07,1,17,33,0.398678414096916,349.8,1,844800,2,4870
10,1,0.26,2,6,35,0.729074889867841,344.5,1,932800,3,3695
8,0,0.34,2,11,26,0.421439060205582,345.56,1,827200,2,3552
8,1,0.16,2,6,19,0.523494860499261,342.38,1,792000,3,2734
11,0,0.49,3,5,21,0.523494860499261,341.32,1,1029600,3,4313
9,1,0.12,2,10,35,0.589574155653448,360.4,0,836000,2,163
8,0,0.49,2,26,57,0.501468428781202,360.4,1,809600,3,2800
8,1,0,3,25,61,0.552863436123348,354.04,1,836000,3,10765
6,0,0.08,2,13,33,0.458149779735681,377.36,1,968000,1,9297
7,0,0.27,2,21,42,0.485315712187948,362.52,1,853600,2,2618
9,0,0.42,2,11,24,0.284140969162985,346.62,1,1003200,2,11947
9,0,0.45,3,26,60,0.596916299559467,341.32,1,836000,3,4756
7,0,0.14,2,15,50,0.420704845814975,359.34,1,809600,3,10884
8,0,0.4,5,3,9,0.342143906020545,373.12,1,1038400,3,4322
8,0,0.44,2,6,12,0.392804698972102,350.86,1,932800,3,9474
13,0,0.66,3,6,15,0.77312775330396,334.96,1,853600,3,8731
8,1,0.13,3,14,57,0.747430249632898,372.06,1,968000,3,8261
8,1,0.01,2,17,32,0.464757709251094,345.56,1,880000,4,10759
13,1,0.63,2,6,26,0.685022026431714,328.6,1,959200,2,2312
8,0,0.31,2,8,11,0.302496328928043,346.62,1,1091200,4,4180
7,1,0,2,16,26,0.406020558002936,357.22,1,853600,2,5730
6,1,0.14,2,9,36,0.337738619676945,373.12,1,1100000,3,8617
7,1,0.01,2,24,94,0.540381791483105,391.14,1,862400,2,2837
9,0,0.28,2,27,72,0.537444933920702,333.9,1,844800,2,4841
7,0,0.24,2,30,45,0.470631424375908,356.16,1,827200,2,10058
11,0,0.73,5,6,22,0.523494860499261,339.2,1,1056000,2,11331
7,0,0.64,2,24,149,0.382525697503662,328.6,1,985600,3,12183
7,1,0.12,2,34,51,0.410425844346544,340.26,1,871200,2,4819
5,1,0,2,15,33,0.244493392070475,371,1,1144000,2,1782
7,1,0.02,2,17,34,0.408957415565339,354.04,1,880000,2,4821
10,0,0.47,2,9,21,0.488252569750367,339.2,1,1038400,3,11074
6,1,0.06,2,5,11,0.399412628487515,380.54,1,976800,2,12132
8,0,0.49,2,21,121,0.530837004405281,343.44,1,809600,2,570
6,1,0,1,17,24,0.135095447870776,380.54,1,1126400,3,12355
7,1,0.07,1,16,49,0.457415565345074,350.86,1,818400,2,11746
11,0,0.57,3,16,39,0.508810572687221,339.2,1,1100000,3,121
12,0,0.51,2,7,26,0.626284875183555,316.94,1,880000,3,577
7,0,0.21,2,24,61,0.251835535976503,357.22,1,968000,3,1028
9,0,0.45,2,7,15,0.561674008810574,347.68,0,836000,2,10286
11,1,0.55,2,7,60,0.457415565345074,331.78,1,818400,2,793
8,0,0.2,2,10,48,0.413362701908955,347.68,1,844800,2,5562
9,0,0.41,2,15,47,0.381057268722465,345.56,1,968000,2,2387
8,1,0,2,10,34,0.567547723935388,354.04,1,862400,3,8618
6,1,0.1,2,34,89,0.168135095447865,351.92,1,1038400,4,8948
8,0,0.29,2,20,71,0.503671071952998,336.02,1,809600,2,9574
9,0,0.32,2,21,72,0.501468428781202,332.84,1,897600,2,772
10,0,0.63,2,7,27,0.463289280469889,349.8,1,1082400,3,6251
8,0,0.46,3,7,21,0.472099853157122,349.8,1,906400,3,11771
8,1,0.21,2,32,89,0.410425844346544,351.92,1,862400,2,774
5,0,0.26,2,5,12,0.413362701908955,400.68,1,836000,2,6689
7,1,0.14,2,13,29,0.286343612334798,357.22,1,915200,3,6299
8,0,0.34,2,16,38,0.354625550660789,360.4,1,968000,3,11003
